common_name,scientific_name,year,status
Hairy Blenny,Labrisomus nuchipinnis,2014,Least Concern
Diamond Blenny,Malacoctenus boehlkei,2014,Least Concern
Goldline Blenny,Malacoctenus aurolineatus,2014,Least Concern
Throatspotted Blenny,Malacoctenus tetranemus,2010,Least Concern
Arrow Blenny,Lucayablennius zingaro,2014,Least Concern
Sailfin Blenny,Emblemaria pandionis,2014,Least Concern
Spinyhead Blenny,Acanthemblemaria spinosa,2014,Least Concern
Roughhead Blenny,Acanthemblemaria aspera,2014,Least Concern
Secretary Blenny,Acanthemblemaria maria,2014,Least Concern
Mexican Barnacle blenny,Acanthemblemaria macrospilus,2010,Least Concern
Flagfin Blenny,Emblemariopsis signifer,2010,Least Concern
Redlip Blenny,Ophioblennius atlanticus,2014,Least Concern
Panamic Fanged Blenny,Ophioblennius steindachneri,2014,Least Concern
Panamic Fanged Blenny,Ophioblennius steindachneri,2010,Least Concern
Piano Fangblenny,Plagiotremus tapeinosoma,2014,Least Concern
Gosline's Fangblenny,Plagiotremus goslinei,2014,Least Concern
Bicolour fangblenny,Plagiotremus laudandus,2014,Least Concern
Fiji Fangblenny,Plagiotremus flavus,2014,Least Concern
Bluestriped Fangblenny,Plagiotremus rhinorhynchos,2014,Least Concern
Sabertooth Blenny,Plagiotremus azaleus,2010,Least Concern
Striped Fangblenny,Meiacanthus grammistes,2014,Least Concern
Shorthead Fangblenny,Petroscirtes breviceps,2014,Least Concern
Slender Sabretooth Blenny,Aspidontus dussumieri,2014,Least Concern
Comical Coralblenny,Ecsenius opsifrontalis,2014,Least Concern
Fiji Clown Coralblenny,Ecsenius fijiensis,2014,Least Concern
Pictus Coralblenny,Ecsenius pictus,2014,Least Concern
Yaeyama Coralblenny,Ecsenius yaeyamaensis,2014,Least Concern
Leopard Blenny,Exallias brevis,2014,Least Concern
Jewelled blenny,Salarias fasciatus,2014,Least Concern
Starry Blenny,Salarias ramosus,2014,Least Concern
Segmented Blenny,Salarias segmentatus,2014,Least Concern
Gargantuan Blenny,Cirripectes obscurus,2014,Least Concern
Barnaclebill Blenny,Hypsoblennius brevipinnis,2010,Least Concern
Roughhead Triplefin,Enneanectes boehlkei,2014,Least Concern
Striped Triplefin,Helcogramma striata,2010,Least Concern
Largemouth Triplefin,Ucla xenogrammus,2014,Least Concern
Lizard Triplefin,Crocodilichthys gracilis,2010,Least Concern
Fire Dartfish,Nemateleotris magnifica,2010,Least Concern
Decorated Dartfish,Nemateleotris decora,2016,Least Concern
Twotone Dartfish,Ptereleotris evides,2016,Least Concern
Yellowhead Jawfish,Opistognathus aurifrons,2015,Least Concern
Banded Jawfish,Opistognathus macrognathus,2015,Least Concern
Sand Diver,Synodus intermedius,2015,Least Concern
Bluestriped Lizardfish,Synodus saurus,2010,Least Concern
Reef Lizardfish,Synodus variegatus,2016,Least Concern
Redmarbled Lizardfish,Synodus rubromarmoratus,2016,Least Concern
Clearfin Lizardfish,Synodus dermatogenys,2016,Least Concern
Twospot Lizardfish,Synodus binotatus,2016,Least Concern
Slender Lizardfish,Saurida gracilis,2016,Least Concern
Orangemouth Lizardfish,Saurida flamma,2016,Least Concern
Hawaiian Lizardfish,Synodus ulae,2016,Least Concern
Threadfin Sand Diver,Trichonotus elegans,2016,Least Concern
Sand Tilefish,Malacanthus plumieri,2015,Least Concern
Redspotted Hawkfish,Amblycirrhitus pinos,2015,Least Concern
Marbled Hawkfish,Cirrhitus pinnulatus,2016,Least Concern
Giant Hawkfish,Cirrhitus rivulatus,2010,Least Concern
Spotted Hawkfish,Cirrhitichthys aprinus,2016,Least Concern
Pixy Hawkfish,Cirrhitichthys oxycephalus,2016,Least Concern
Dwarf hawkfish,Cirrhitichthys falco,2016,Least Concern
Arc-Eye Hawkfish,Paracirrhites arcatus,2016,Least Concern
Freckled Hawkfish,Paracirrhites forsteri,2016,Least Concern
Longnose Hawkfish,Oxycirrhites typus,2016,Least Concern
Redbarred Hawkfish,Cirrhitops fasciatus,2016,Least Concern
Thorny Flathead,Rogadius pristiger,2016,Least Concern
Dragon Sea Moth,Eurypegasus draconis,2017,Least Concern
Dragon Sea Moth,Eurypegasus draconis,2010,Data Deficient
Dragon Sea Moth,Eurypegasus draconis,1996,Data Deficient
Peacock Flounder,Bothus lunatus,2015,Least Concern
Eyed Flounder,Bothus ocellatus,2015,Least Concern
Leopard Flounder,Bothus pantherinus,2016,Least Concern
Flowery flounder,Bothus mancus,2010,Least Concern
Pacific Leopard Flounder,Bothus leopardinus,2010,Least Concern
Channel Flounder,Syacium micrurum,2015,Least Concern
Banded Sole,Soleichthys heterorhinos,2016,Least Concern
Doubleline Clingfish,Lepadichthys lineatus,2018,Least Concern
Splendid Toadfish,Sanopus splendidus,2015,Endangered
Splendid Toadfish,Sanopus splendidus,1996,Vulnerable
Whitespotted Toadfish,Sanopus astrifer,2015,Vulnerable
Whitespotted Toadfish,Sanopus astrifer,1996,Vulnerable
Shortnose Batfish,Ogcocephalus nasutus,2015,Least Concern
Striated Frogfish,Antennarius striatus,2015,Least Concern
Spotfin Frogfish,Antennatus nummifer,2015,Least Concern
Helmut Gurnard,Dactyloptena orientalis,2016,Least Concern
Spotwing Flying Gurnard,Dactyloptena macracantha,2018,Least Concern
Spotfin Lionfish,Pterois antennata,2016,Least Concern
Clearfin Lionfish,Pterois radiata,2016,Least Concern
False Mombasa Lionfish,Pterois paucispinula,2016,Least Concern
Hawaiian Red Lionfish,Pterois sphex,2016,Least Concern
Shortfin Lionfish,Dendrochirus brachypterus,2016,Least Concern
Zebra Lionfish,Dendrochirus zebra,2016,Least Concern
Twinspot Lionfish,Dendrochirus biocellatus,2016,Least Concern
Spotted Scorpionfish,Scorpaena plumieri,2015,Least Concern
Reef Scorpionfish,Scorpaenodes caribbaeus,2015,Least Concern
Mushroom Scorpionfish,Scorpaena inermis,2015,Least Concern
Pacific Spotted Scorpionfish,Scorpaena mystes,2010,Least Concern
Flasher Scorpionfish,Scorpaenopsis macrochir,2016,Least Concern
Raggy Scorpionfish,Scorpaenopsis venosa,2016,Least Concern
Titan Scorpionfish,Scorpaenopsis cacopsis,2016,Data Deficient
Ambon Scorpionfish,Pteroidichthys amboinensis,2016,Least Concern
Leaf Scorpionfish,Taenianotus triacanthus,2016,Least Concern
Shortfin Scorpionfish,Scorpaenodes parvipinnis,2016,Least Concern
Barchin Scorpionfish,Sebastapistes strongia,2016,Least Concern
Speckled Scorpionfish,Sebastapistes coniorta,2016,Near Threatened
Estuarine Stonefish,Synanceia horrida,2018,Least Concern
Longspined Waspfish,Paracentropogon longispinis,2018,Least Concern
Whiteface Waspfish,Richardsonichthys leucogaster,2018,Least Concern
Queen Triggerfish,Balistes vetula,2015,Near Threatened
Queen Triggerfish,Balistes vetula,1996,Vulnerable
Finescale Triggerfish,Balistes polylepis,2010,Least Concern
Ocean Triggerfish,Canthidermis sufflamen,2015,Least Concern
Sargassum Triggerfish,Xanthichthys ringens,2015,Least Concern
Black Durgon,Melichthys niger,2015,Least Concern
Orangeside Triggerfish,Sufflamen verres,2010,Least Concern
Scrawled Filefish,Aluterus scriptus,2015,Least Concern
Rhino Filefish,Pseudalutarius nasicornis,2016,Least Concern
Whitespotted Filefish,Cantherhines macrocerus,2015,Least Concern
Yelloweye Filefish,Cantherhines dumerilii,2016,Least Concern
Spectacled Filefish,Cantherhines fronticinctus,2016,Least Concern
Wirenet Filefish,Cantherhines pardalis,2016,Least Concern
Orangespotted Filefish,Cantherhines pullus,2015,Least Concern
Strapweed Filefish,Pseudomonacanthus macrurus,2019,Least Concern
Blackheaded Filefish,Pervagor melanocephalus,2016,Least Concern
Orangetail Filefish,Pervagor aspricaudus,2016,Least Concern
Fantail Filefish,Pervagor spilosoma,2016,Least Concern
Slender Filefish,Monacanthus tuckeri,2015,Least Concern
Mimic Filefish,Paraluteres prionurus,2016,Least Concern
Longnose Filefish,Oxymonacanthus longirostris,2016,Vulnerable
Scrawled Cowfish,Acanthostracion quadricornis,2015,Least Concern
Honeycomb Cowfish,Acanthostracion polygonius,2015,Least Concern
Smooth Trunkfish,Lactophrys triqueter,2015,Least Concern
Spotted Trunkfish,Lactophrys bicaudalis,2015,Least Concern
Buffalo Trunkfish,Lactophrys trigonus,2015,Least Concern
Balloonfish,Diodon holocanthus,2015,Least Concern
Spotfin Burrfish,Chilomycterus reticulatus,2015,Least Concern
Bridled Burrfish,Chilomycterus antennatus,2015,Least Concern
Web Burrfish,Chilomycterus antillarum,2015,Least Concern
Blackspotted Puffer,Arothron nigropunctatus,2014,Least Concern
Whitespotted Puffer,Arothron hispidus,2014,Least Concern
Reticulated pufferfish,Arothron reticularis,2014,Least Concern
Blue-Spotted Puffer,Arothron caeruleopunctatus,2014,Least Concern
Map Puffer,Arothron mappa,2014,Least Concern
Star Puffer,Arothron stellatus,2014,Least Concern
Striped Puffer,Arothron manilensis,2014,Least Concern
Immaculate Puffer,Arothron immaculatus,2014,Least Concern
Sharpnose Puffer,Canthigaster rostrata,2014,Least Concern
Papuan Toby,Canthigaster papua,2014,Least Concern
Fingerprint Toby,Canthigaster compressa,2014,Least Concern
Black-Saddled Toby,Canthigaster valentini,2014,Least Concern
Pacific Crown Toby,Canthigaster axiologus,2014,Least Concern
Hawaiian Crown Toby,Canthigaster coronata,2014,Least Concern
Whitebelly Toby,Canthigaster bennetti,2014,Least Concern
Honeycomb Toby,Canthigaster janthinoptera,2014,Least Concern
Spotted Sharpnosed Puffer,Canthigaster punctatissima,2010,Least Concern
Hawaiian Whitespotted Toby,Canthigaster jactator,2014,Least Concern
Ambon Toby,Canthigaster amboinensis,2014,Least Concern
Lantern Toby,Canthigaster epilampra,2014,Least Concern
Bandtail Puffer,Sphoeroides spengleri,2014,Least Concern
Checkered Puffer,Sphoeroides testudineus,2014,Least Concern
Spotted Drum,Equetus punctatus,2015,Least Concern
Jackknife Fish,Equetus lanceolatus,2015,Least Concern
High Hat,Pareques acuminatus,2015,Least Concern
Cubbyu,Pareques umbrosus,2015,Least Concern
Spotted Goatfish,Pseudupeneus maculatus,2015,Least Concern
Yellow Goatfish,Mulloidichthys martinicus,2015,Least Concern
Yellowfin Goatfish,Mulloidichthys vanicolensis,2016,Least Concern
Yellowstripe Goatfish,Mulloidichthys flavolineatus,2016,Least Concern
Mexican Goatfish,Mulloidichthys dentatus,2010,Least Concern
Manybar Goatfish,Parupeneus multifasciatus,2010,Least Concern
Sidespot Goatfish,Parupeneus pleurostigma,2016,Least Concern
Longbarbel Goatfish,Parupeneus macronemus,2016,Least Concern
Island Goatfish,Parupeneus insularis,2016,Least Concern
Whitesaddle Goatfish,Parupeneus porphyreus,2016,Near Threatened
Dash-Dot Goatfish,Parupeneus barberinus,2016,Least Concern
Freckled Goatfish,Upeneus tragula,2016,Least Concern
Indian goatfish,Parupeneus indicus,2016,Least Concern
Razorfish,Aeoliscus strigatus,2016,Data Deficient
Rigid Shrimpfish,Centriscus scutatus,2016,Least Concern
Pacific Trumpetfish,Aulostomus chinensis,2015,Least Concern
Bluespotted Cornetfish,Fistularia commersonii,2016,Least Concern
Glassy Sweeper,Pempheris schomburgkii,2015,Least Concern
Sharksucker,Echeneis naucrates,2015,Least Concern
Whitefin Sharksucker,Echeneis neucratoides,2015,Data Deficient
Thorny seahorse,Hippocampus histrix,2017,Vulnerable
Thorny seahorse,Hippocampus histrix,2012,Vulnerable
Thorny seahorse,Hippocampus histrix,2002,Data Deficient
Common Seahorse,Hippocampus kuda,2014,Vulnerable
Common Seahorse,Hippocampus kuda,2003,Vulnerable
Common Seahorse,Hippocampus kuda,1996,Vulnerable
Smooth Seahorse,Hippocampus trimaculatus,2015,Vulnerable
Smooth Seahorse,Hippocampus trimaculatus,2003,Vulnerable
Smooth Seahorse,Hippocampus trimaculatus,1996,Vulnerable
Pacific Seahorse,Hippocampus ingens,2017,Vulnerable
Pacific Seahorse,Hippocampus ingens,2012,Vulnerable
Pacific Seahorse,Hippocampus ingens,2003,Vulnerable
Pacific Seahorse,Hippocampus ingens,1996,Vulnerable
Pygmy Seahorse,Hippocampus bargibanti,2017,Data Deficient
Pygmy Seahorse,Hippocampus bargibanti,2003,Data Deficient
Pygmy Seahorse,Hippocampus bargibanti,1996,Data Deficient
Pontoh's Pygmy Seahorse,Hippocampus pontohi,2017,Least Concern
Ornate Ghost Pipefish,Solenostomus paradoxus,2016,Least Concern
Robust Ghost Pipefish,Solenostomus cyanopterus,2016,Least Concern
Shortfin Pipefish,Cosmocampus elucens,2017,Least Concern
Shortfin Pipefish,Cosmocampus elucens,2016,Least Concern
Shortfin Pipefish,Cosmocampus elucens,2010,Least Concern
Harlequin Pipefish,Micrognathus crinitus,2015,Least Concern
Naia Pipefish,Dunckerocampus naia,2017,Least Concern
Network Pipefish,Corythoichthys flavofasciatus,2017,Least Concern
Brown-banded Pipefish,Corythoichthys amplexus,2016,Least Concern
Brown-banded Pipefish,Corythoichthys amplexus,2010,Least Concern
Thread Pipefish,Kyonemichthys rumengani,2016,Least Concern
Short-Tailed Pipefish,Trachyrhamphus bicoarctatus,2016,Least Concern
Shortnose Pipefish,Micrognathus andersonii,2016,Least Concern
Mushroom Coral Pipefish,Siokunichthys nigrolineatus,2017,Data Deficient
Mushroom Coral Pipefish,Siokunichthys nigrolineatus,2010,Least Concern
Winged Pipefish,Halicampus macrorhynchus,2016,Least Concern
Shortpouch Pygmy Pipehorse,Acentronura tentaculata,2016,Least Concern
Double-Ended Pipefish,Syngnathoides biaculeatus,2017,Least Concern
Double-Ended Pipefish,Syngnathoides biaculeatus,2008,Data Deficient
Double-Ended Pipefish,Syngnathoides biaculeatus,1996,Data Deficient
Ribbon Moray Eel,Rhinomuraena quaesita,2010,Least Concern
Green Moray Eel,Gymnothorax funebris,2015,Least Concern
Panamic Green Moray Eel,Gymnothorax castaneus,2010,Least Concern
Goldentail Moray Eel,Gymnothorax miliaris,2015,Least Concern
Yellowmargin Moray Eel,Gymnothorax flavimarginatus,2019,Least Concern
Giant Moray Eel,Gymnothorax javanicus,2019,Least Concern
Masked Moray Eel,Gymnothorax breedeni,2019,Least Concern
Laced moray Eel,Gymnothorax favagineus,2019,Least Concern
Whitemouth Moray Eel,Gymnothorax meleagris,2019,Least Concern
White-Eyed Moray Eel,Gymnothorax thyrsoideus,2019,Least Concern
Fimbriated Moray Eel,Gymnothorax fimbriatus,2019,Least Concern
Undulated Moray Eel,Gymnothorax undulatus,2019,Least Concern
Dwarf Moray Eel,Gymnothorax melatremus,2019,Least Concern
Stout Moray Eel,Gymnothorax eurostus,2019,Least Concern
Purplemouth Moray Eel,Gymnothorax vicinus,2015,Least Concern
Whitelip Moray Eel,Gymnothorax chilospilus,2019,Least Concern
Barredfin Moray Eel,Gymnothorax zonipectis,2019,Least Concern
White-Margined Moray Eel,Gymnothorax albimarginatus,2019,Least Concern
Chain Moray Eel,Echidna catenata,2015,Least Concern
Snowflake Moray Eel,Echidna nebulosa,2019,Least Concern
Barred Moray Eel,Echidna polyzona,2019,Least Concern
Chestnut Moray Eel,Enchelycore carychroa,2015,Least Concern
Viper Moray Eel,Enchelycore nigricans,2015,Least Concern
Tiger Snake Moray Eel,Scuticaria tigrina,2019,Least Concern
Zebra Moray Eel,Gymnomuraena zebra,2019,Least Concern
Blotched Moray Eel,Uropterygius fasciolatus,2019,Least Concern
Sharptail Eel,Myrichthys breviceps,2015,Least Concern
Goldspotted Eel,Myrichthys ocellatus,2015,Least Concern
Black-Finned Snake Eel,Ophichthus altipennis,2010,Least Concern
Hawaiian Conger Eel,Conger marginatus,2019,Data Deficient
Scheele's Conger Eel,Ariosoma scheelei,2019,Least Concern
Brown Garden Eel,Heteroconger longissimus,2015,Least Concern
Barnes Garden Eel,Gorgasia barnesi,2019,Least Concern
Spotted Garden Eel,Heteroconger hassi,2019,Least Concern
Taylor's Garden Eel,Heteroconger taylori,2010,Data Deficient
Banded Garden Eel,Heteroconger polyzona,2019,Least Concern
Caribbean Whiptail Stingray,Himantura schmardae,2006,Data Deficient
Blue-Spotted Stingray,Neotrygon kuhlii,2018,Data Deficient
Bluespotted Ribbontail Ray,Taeniura lymma,2009,Near Threatened
Bluespotted Ribbontail Ray,Taeniura lymma,2000,Lower Risk/near threatened
Cowtail Stingray,Pastinachus sephen,2017,Near Threatened
Yellow Stingray,Urobatis jamaicensis,2006,Least Concern
Reef Stingray,Urobatis concentricus,2006,Data Deficient
Lesser Electric Ray,Narcine brasiliensis,2007,Data Deficient
Gray Reef Shark,Carcharhinus amblyrhynchos,2009,Near Threatened
Gray Reef Shark,Carcharhinus amblyrhynchos,2000,Lower Risk/near threatened
Tawny Nurse Shark,Nebrius ferrugineus,2003,Vulnerable
Whitetip Reef Shark,Triaenodon obesus,2009,Near Threatened
Whitetip Reef Shark,Triaenodon obesus,2000,Lower Risk/near threatened
Spotted Spiny Lobster,Panulirus guttatus,2011,Least Concern
Red Banded Lobster,Justitia longimanus,2011,Data Deficient
Banded Spiny Lobster,Panulirus marginatus,2011,Data Deficient
Pronghorn Spiny Lobster,Panulirus penicillatus,2011,Least Concern
Stripe-Leg Spiny Lobster,Panulirus femoristriga,2011,Least Concern
Blue Spiny Lobster,Panulirus inflatus,2011,Least Concern
Red Reef Lobster,Enoplometopus occidentalis,2011,Least Concern
Sculptured Slipper Lobster,Parribacus antarcticus,2011,Least Concern
Small Spanish Lobster,Arctides guineensis,2011,Least Concern
Spanish Lobster,Scyllarides aequinoctialis,2011,Least Concern
Blunt Slipper Lobster,Scyllarides squammosus,2011,Least Concern
Striated Cone,Conus striatus,2013,Least Concern
Marbled Cone,Conus marmoreus,2013,Least Concern
Berry's Bobtail Squid,Euprymna berryi,2012,Data Deficient
Tropical Bottletail Squid,Sepiadarium kochi,2012,Least Concern
Flamboyant Cuttlefish,Metasepia pfefferi,2012,Data Deficient
Common Octopus,Octopus vulgaris,2018,Least Concern
Greater Blue-Ringed Octopus,Hapalochlaena lunulata,2018,Least Concern
Day Octopus,Octopus cyanea,2018,Least Concern
Coconut Octopus,Amphioctopus marginatus,2018,Least Concern
Poison Ocellate Octopus,Amphioctopus siamensis,2018,Least Concern
Mosaic Octopus,Abdopus abaculus,2018,Data Deficient
Giant Giant Clam,Tridacna gigas,1996,Vulnerable
Giant Giant Clam,Tridacna gigas,1994,Vulnerable
Giant Giant Clam,Tridacna gigas,1990,Vulnerable
Giant Giant Clam,Tridacna gigas,1988,Vulnerable
Giant Giant Clam,Tridacna gigas,1986,Vulnerable
Giant Giant Clam,Tridacna gigas,1983,Vulnerable
Smooth Giant Clam,Tridacna derasa,1996,Vulnerable
Smooth Giant Clam,Tridacna derasa,1994,Vulnerable
Smooth Giant Clam,Tridacna derasa,1990,Vulnerable
Smooth Giant Clam,Tridacna derasa,1988,Vulnerable
Smooth Giant Clam,Tridacna derasa,1986,Vulnerable
Smooth Giant Clam,Tridacna derasa,1983,Vulnerable
Crocus Giant Clam,Tridacna crocea,1996,Lower Risk/least concern
Crocus Giant Clam,Tridacna crocea,1994,Insufficiently Known
Crocus Giant Clam,Tridacna crocea,1990,Insufficiently Known
Crocus Giant Clam,Tridacna crocea,1988,Insufficiently Known
Crocus Giant Clam,Tridacna crocea,1986,Insufficiently Known
Crocus Giant Clam,Tridacna crocea,1983,Insufficiently Known
Flutted Giant Clam,Tridacna squamosa,1996,Lower Risk/conservation dependent
Flutted Giant Clam,Tridacna squamosa,1994,Indeterminate
Flutted Giant Clam,Tridacna squamosa,1990,Indeterminate
Flutted Giant Clam,Tridacna squamosa,1988,Indeterminate
Flutted Giant Clam,Tridacna squamosa,1986,Indeterminate
Flutted Giant Clam,Tridacna squamosa,1983,Indeterminate
Maxima Giant Clam,Tridacna maxima,1996,Lower Risk/conservation dependent
Maxima Giant Clam,Tridacna maxima,1994,Insufficiently Known
Maxima Giant Clam,Tridacna maxima,1990,Insufficiently Known
Maxima Giant Clam,Tridacna maxima,1988,Insufficiently Known
Maxima Giant Clam,Tridacna maxima,1986,Insufficiently Known
Maxima Giant Clam,Tridacna maxima,1983,Insufficiently Known
Hippopus Clam,Hippopus hippopus,1996,Lower Risk/conservation dependent
Hippopus Clam,Hippopus hippopus,1994,Indeterminate
Hippopus Clam,Hippopus hippopus,1990,Indeterminate
Hippopus Clam,Hippopus hippopus,1988,Indeterminate
Hippopus Clam,Hippopus hippopus,1986,Indeterminate
Hippopus Clam,Hippopus hippopus,1983,Indeterminate
Three-Rowed Sea Cucumber,Isostichopus badionotus,2013,Least Concern
Furry Sea Cucumber,Astichopus multifidus,2013,Least Concern
Conical Sea Cucumber,Eostichopus arnesoni,2013,Data Deficient
Donkey Dung Sea Cucumber,Holothuria mexicana,2013,Least Concern
Tiger Tail Sea Cucumber,Holothuria thomasi,2013,Least Concern
Florida Sea Cucumber,Holothuria floridana,2013,Least Concern
Pineapple Sea Cucumber,Thelenota ananas,2013,Endangered
Leopard Sea Cucumber,Bohadschia argus,2013,Least Concern
Plump Sea Cucumber,Actinopyga obesa,2013,Data Deficient
Paradoxical Sea Cucumber,Bohadschia paradoxa,2013,Data Deficient
Whitespotted Sea Cucumber,Actinopyga varians,2013,Data Deficient
White-rumped Sea Cucumber,Actinopyga lecanora,2013,Data Deficient
Hairy Blackfish Sea Cucumber,Actinopyga miliaris,2013,Vulnerable
Teated Sea Cucumber,Holothuria whitmaei,2013,Endangered
White Teatfish,Holothuria fuscogilva,2013,Vulnerable
Black Sea Cucumber,Holothuria atra,2013,Least Concern
Greenfish Sea Cucumber,Stichopus chloronotus,2013,Least Concern
Dragonfish Sea Cucumber,Stichopus horrens,2013,Data Deficient
Graeffe's Sea Cucumber,Pearsonothuria graeffei,2013,Least Concern
Giant Sea Cucumber,Thelenota anax,2013,Data Deficient
Elephant Trunkfish,Holothuria fuscopunctata ,2013,Least Concern
Brown Curryfish Sea Cucumber,Stichopus vastus,2013,Least Concern
Volcano Sea Cucumber,Holothuria turriscelsa,2013,Least Concern
Difficult Sea Cucumber,Holothuria difficilis,2013,Least Concern
Light-Spotted Sea Cucumber,Holothuria hilla,2013,Least Concern
Branching Fire Coral,Millepora alcicornis,2008,Least Concern
Blade Fire Coral,Millepora Complanata,2008,Least Concern
Staghorn Coral,Acropora cervicornis,2008,Critically Endangered
Clubtip Finger Coral,Porites porites,2008,Least Concern
Branched Finger Coral,Porites furcata,2008,Least Concern
Thin Finger Coral,Porites divaricata,2008,Least Concern
Pillar Coral,Dendrogyra cylindrus,2008,Vulnerable
Diffuse Ivory Bush Coral,Oculina diffusa,2008,Least Concern
Ten-Ray Star Coral,Madracis decactis,2008,Least Concern
Lobed Star Coral,Montastraea annularis,2008,Endangered
Mountainous Star Coral,Montastraea faveolata,2008,Endangered
Boulder Star Coral,Montastraea franksi,2008,Vulnerable
Great Star Coral,Montastraea cavernosa,2008,Least Concern
Golfball Coral,Favia fragum,2008,Least Concern
Mustard Hill Coral,Porites astreoides,2008,Least Concern
Massive Starlet Coral,Siderastrea siderea,2008,Least Concern
Lesser Starlet Coral,Siderastrea radians,2008,Least Concern
Symmetrical Brain Coral,Diploria strigosa,2008,Least Concern
Knobby Brain Coral,Diploria clivosa,2008,Least Concern
Boulder Brain Coral,Colpophyllia natans,2008,Least Concern
Maze Coral,Meandrina meandrites,2008,Least Concern
Rose Coral,Manicina areolata,2008,Least Concern
Whitestar Sheet Coral,Agaricia lamarcki,2008,Vulnerable
Fragile Saucer Coral,Agaricia fragilis,2008,Data Deficient
Dimpled Sheet Coral,Agaricia grahamae,2008,Least Concern
Low Relief Lettuce Coral,Agaricia humilis,2008,Least Concern
Thin Leaf Lettuce Coral,Agaricia tenuifolia,2008,Near Threatened
Ridged Cactus Coral,Mycetophyllia lamarckiana,2008,Least Concern
Knobby Cactus Coral,Mycetophyllia aliciae,2008,Least Concern
Rough Cactus Coral,Mycetophyllia ferox,2008,Vulnerable
Rough Star Coral,Isophyllastrea rigida,2008,Least Concern
Atlantic Mushroom Coral,Scolymia lacera,2008,Least Concern
Spiny Flower Coral,Mussa angulosa,2008,Least Concern
Antler Coral,Pocillopora eydouxi,2014,Near Threatened
Antler Coral,Pocillopora eydouxi,2008,Near Threatened
Cauliflower Coral,Pocillopora meandrina,2014,Least Concern
Cauliflower Coral,Pocillopora meandrina,2008,Least Concern
Needle Coral,Seriatopora hystrix,2014,Least Concern
Needle Coral,Seriatopora hystrix,2008,Least Concern
Acropora subulata,Acropora subulata,2008,Least Concern
Rice Coral,Montipora capitata,2008,Near Threatened
Leptoseris explanata,Leptoseris explanata,2014,Least Concern
Leptoseris explanata,Leptoseris explanata,2008,Least Concern
Acanthastrea lordhowensis,Acanthastrea lordhowensis,2008,Near Threatened
Symphyllia radians,Symphyllia radians,2008,Least Concern
Button Coral,Cynarina lacrymalis,2008,Near Threatened
Common Mushroom Coral,Fungia fungites,2014,Near Threatened
Common Mushroom Coral,Fungia fungites,2008,Near Threatened
Fungia concinna,Fungia concinna,2014,Least Concern
Fungia concinna,Fungia concinna,2008,Least Concern
Common Razor Coral,Fungia scutaria,2014,Least Concern
Common Razor Coral,Fungia scutaria,2008,Least Concern
Granular Razor Coral,Fungia granulosa,2014,Least Concern
Granular Razor Coral,Fungia granulosa,2008,Least Concern
Ctenactis echinata,Ctenactis echinata,2014,Least Concern
Ctenactis echinata,Ctenactis echinata,2008,Least Concern
Ctenactis albitentaculata,Ctenactis albitentaculata,2014,Near Threatened
Ctenactis albitentaculata,Ctenactis albitentaculata,2008,Near Threatened
Herpolitha limax,Herpolitha limax,2014,Least Concern
Herpolitha limax,Herpolitha limax,2008,Least Concern
Polyphyllia talpina,Polyphyllia talpina,2014,Least Concern
Polyphyllia talpina,Polyphyllia talpina,2008,Least Concern
Lithophyllon undulatum,Lithophyllon undulatum,2008,Near Threatened
Pectinia paeonia,Pectinia paeonia,2014,Near Threatened
Pectinia paeonia,Pectinia paeonia,2008,Near Threatened
Common Lettuce Coral,Pectinia lactuca,2008,Vulnerable
Bubble Coral,Plerogyra sinuosa,2014,Near Threatened
Bubble Coral,Plerogyra sinuosa,2008,Near Threatened
Pearl Bubble Coral,Physogyra lichtensteini,2014,Vulnerable
Pearl Bubble Coral,Physogyra lichtensteini,2008,Vulnerable
Anchor Coral,Euphyllia ancora,2008,Vulnerable
Blue-Lipped Sea krait,Laticauda laticaudata,2010,Least Concern
Short-Finned Pilot Whale,Globicephala macrorhynchus,2018,Least Concern
Short-Finned Pilot Whale,Globicephala macrorhynchus,2011,Data Deficient
Short-Finned Pilot Whale,Globicephala macrorhynchus,2008,Data Deficient
Short-Finned Pilot Whale,Globicephala macrorhynchus,1996,Lower Risk/conservation dependent
Short-Finned Pilot Whale,Globicephala macrorhynchus,1994,Insufficiently Known
Blue Angelfish,Holacanthus bermudensis,2010,Least Concern
King Angelfish,Holacanthus passer,2010,Least Concern
Clarion Angelfish,Holacanthus clarionensis,2010,Vulnerable
Rock Beauty,Holacanthus tricolor,2010,Least Concern
Regal Angelfish,Pygoplites diacanthus,2010,Least Concern
Black-Spot Angelfish,Genicanthus melanospilos,2010,Least Concern
Blackstriped Angelfish,Genicanthus lamarck,2010,Least Concern
Gray Angelfish,Pomacanthus arcuatus,2010,Least Concern
Semicircle Angelfish,Pomacanthus semicirculatus,2010,Least Concern
Six-Banded Angelfish,Pomacanthus sexstriatus,2010,Least Concern
Cortez Angelfish,Pomacanthus zonipectus,2010,Least Concern
Emperor Angelfish,Pomacanthus imperator,2010,Least Concern
Yellow-Mask Angelfish,Pomacanthus xanthometopon,2010,Least Concern
Bluegirdled Angelfish,Pomacanthus navarchus,2010,Least Concern
Threespot Angelfish,Apolemichthys trimaculatus,2010,Least Concern
Multibarred Angelfish,Paracentropyge multifasciata,2010,Least Concern
Vermiculated Angelfish,Chaetodontoplus mesoleucus,2010,Least Concern
