category,common_name,countries,scientific_name
Odd Shaped Swimmers,Scrawled Cowfish,Nicaragua,Acanthostracion quadricornis
Odd Shaped Swimmers,Scrawled Cowfish,Panama,Acanthostracion quadricornis
Odd Shaped Swimmers,Scrawled Cowfish,Puerto Rico,Acanthostracion quadricornis
Odd Shaped Swimmers,Scrawled Cowfish,Suriname,Acanthostracion quadricornis
Odd Shaped Swimmers,Scrawled Cowfish,Trinidad and Tobago,Acanthostracion quadricornis
Odd Shaped Swimmers,Scrawled Cowfish,United States of America,Acanthostracion quadricornis
Odd Shaped Swimmers,Scrawled Cowfish,Venezuela,Acanthostracion quadricornis
Odd Shaped Swimmers,Scrawled Cowfish,South Africa,Acanthostracion quadricornis
Odd Shaped Swimmers,Honeycomb Cowfish,Bermuda,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Brazil,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Belize,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Colombia,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Costa Rica,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Cuba,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Dominican Republic,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,French Guiana,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Guatemala,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Guyana,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Honduras,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Haiti,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Jamaica,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Mexico,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Nicaragua,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Panama,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Puerto Rico,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Suriname,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Trinidad and Tobago,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,United States of America,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Uruguay,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,Venezuela,Acanthostracion polygonius
Odd Shaped Swimmers,Honeycomb Cowfish,South Africa,Acanthostracion polygonius
Odd Shaped Swimmers,Smooth Trunkfish,Bermuda,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Brazil,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Belize,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Canada,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Colombia,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Costa Rica,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Cuba,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Dominican Republic,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,French Guiana,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Guatemala,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Guyana,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Honduras,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Haiti,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Jamaica,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Mexico,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Nicaragua,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Panama,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Puerto Rico,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Suriname,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Trinidad and Tobago,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,United States of America,Lactophrys triqueter
Odd Shaped Swimmers,Smooth Trunkfish,Venezuela,Lactophrys triqueter
Odd Shaped Swimmers,Spotted Trunkfish,Brazil,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Belize,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Colombia,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Costa Rica,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Cuba,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Dominican Republic,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,French Guiana,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Guatemala,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Guyana,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Honduras,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Haiti,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Jamaica,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Mexico,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Nicaragua,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Panama,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Puerto Rico,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Suriname,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Trinidad and Tobago,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,United States of America,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Uruguay,Lactophrys bicaudalis
Odd Shaped Swimmers,Spotted Trunkfish,Venezuela,Lactophrys bicaudalis
