common_name,scientific_name,url,category,depth,distribution,images,size
Pacific Sailfin Tang,Zebrasoma veliferum,https://reefguide.org/pacificsailfintang.html,Large Oval Fish,3-130 ft. (1-40 m),"Hawaii, Pacific, Indonesia, Great Barrier Reef","['https://reefguide.org/pix/thumb2/pacificsailfintang1.jpg', 'https://reefguide.org/pix/thumb2/pacificsailfintang2.jpg', 'https://reefguide.org/pix/thumb2/pacificsailfintang3.jpg']",10 to 16 in. (25 to 40 cm)
Yellow Tang,Zebrasoma flavescens,https://reefguide.org/yellowtang.html,Large Oval Fish,10-130 ft. (3-40 m),"Hawaii, Northwest Pacific","['https://reefguide.org/pix/thumb2/yellowtang4.jpg', 'https://reefguide.org/pix/thumb2/yellowtang5.jpg', 'https://reefguide.org/pix/thumb2/yellowtang1.jpg', 'https://reefguide.org/pix/thumb2/yellowtang2.jpg', 'https://reefguide.org/pix/thumb2/yellowtang3.jpg']",5 to 8 in. (13 to 20 cm)
Brushtail Tang,Zebrasoma scopas,https://reefguide.org/brushtailtang.html,Large Oval Fish,10-130 ft. (3-40 m),"Indo-Pacific, Great Barrier Reef","['https://reefguide.org/pix/thumb2/brushtailtang2.jpg', 'https://reefguide.org/pix/thumb2/brushtailtang1.jpg', 'https://reefguide.org/pix/thumb2/brushtailtang3.jpg', 'https://reefguide.org/pix/thumb2/brushtailtang4.jpg', 'https://reefguide.org/pix/thumb2/brushtailtang5.jpg']",5 to 8 in. (13 to 20 cm)
Ocean Surgeonfish,Acanthurus bahianus,https://reefguide.org/surgeonfish.html,Large Oval Fish,15-80 ft. (5-25 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico, Brazil","['https://reefguide.org/pix/thumb2/surgeonfish4.jpg', 'https://reefguide.org/pix/thumb2/surgeonfish3.jpg', 'https://reefguide.org/pix/thumb2/surgeonfish1.jpg', 'https://reefguide.org/pix/thumb2/surgeonfish5.jpg', 'https://reefguide.org/pix/thumb2/surgeonfish7.jpg', 'https://reefguide.org/pix/thumb2/surgeonfish2.jpg', 'https://reefguide.org/pix/thumb2/surgeonfish6.jpg']",6 to 12 in. (15 to 30 cm)
Doctorfish,Acanthurus chirurgus,https://reefguide.org/doctorfish.html,Large Oval Fish,15-80 ft. (5-25 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico, Brazil","['https://reefguide.org/pix/thumb2/doctorfish7.jpg', 'https://reefguide.org/pix/thumb2/doctorfish2.jpg', 'https://reefguide.org/pix/thumb2/doctorfish6.jpg', 'https://reefguide.org/pix/thumb2/doctorfish5.jpg', 'https://reefguide.org/pix/thumb2/doctorfish3.jpg', 'https://reefguide.org/pix/thumb2/doctorfish4.jpg', 'https://reefguide.org/pix/thumb2/doctorfish1.jpg']",6 to 12 in. (15 to 30 cm)
Achilles Tang,Acanthurus achilles,https://reefguide.org/achillestang.html,Large Oval Fish,1-30 ft. (0-10 m),"Central Pacific, Hawaii, Gulf of California, French Polynesia","['https://reefguide.org/pix/thumb2/achillestang1.jpg', 'https://reefguide.org/pix/thumb2/achillestang2.jpg', 'https://reefguide.org/pix/thumb2/achillestang3.jpg']",Up to 8 in. (20 cm)
Orangeband Surgeonfish,Acanthurus olivaceus,https://reefguide.org/orangebandsurgeon.html,Large Oval Fish,10-150 ft. (3-45 m),"Eastern Indo-Pacific, Hawaii","['https://reefguide.org/pix/thumb2/orangebandsurgeon1.jpg', 'https://reefguide.org/pix/thumb2/orangebandsurgeon2.jpg', 'https://reefguide.org/pix/thumb2/orangebandsurgeon3.jpg', 'https://reefguide.org/pix/thumb2/orangebandsurgeon4.jpg']",6 to 14 in. (15 to 35 cm)
Mimic Surgeonfish,Acanthurus pyroferus,https://reefguide.org/mimicsurgeonfish.html,Large Oval Fish,15-130 ft. (5-40 m),"Pacific, Indonesia, Great Barrier Reef","['https://reefguide.org/pix/thumb2/mimicsurgeonfish1.jpg', 'https://reefguide.org/pix/thumb2/mimicsurgeonfish2.jpg', 'https://reefguide.org/pix/thumb2/mimicsurgeonfish3.jpg', 'https://reefguide.org/pix/thumb2/mimicsurgeonfish4.jpg', 'https://reefguide.org/pix/thumb2/mimicsurgeonfish5.jpg']",8 to 12 in. (20 to 25 cm)
Whitecheek Surgeonfish,Acanthurus nigricans,https://reefguide.org/whitecheeksurgeonfish.html,Large Oval Fish,3-130 ft. (1-40 m),"Pacific, Indonesia, Hawaii, Pacific Coast of Mexico to Panama, French Polynesia","['https://reefguide.org/pix/thumb2/whitecheeksurgeonfish1.jpg', 'https://reefguide.org/pix/thumb2/whitecheeksurgeonfish2.jpg', 'https://reefguide.org/pix/thumb2/whitecheeksurgeonfish3.jpg', 'https://reefguide.org/pix/thumb2/whitecheeksurgeonfish4.jpg']",4 to 8 in. (10 to 20 cm)
Brown Surgeonfish,Acanthurus nigrofuscus,https://reefguide.org/brownsurgeonfish.html,Large Oval Fish,10-60 ft. (3-18 m),"Indo-Pacific, Hawaii, Red Sea","['https://reefguide.org/pix/thumb2/brownsurgeonfish3.jpg', 'https://reefguide.org/pix/thumb2/brownsurgeonfish1.jpg', 'https://reefguide.org/pix/thumb2/brownsurgeonfish2.jpg']",4 to 8 in. (10 to 21 cm)
Striped Surgeonfish,Acanthurus lineatus,https://reefguide.org/acanthuruslineatus.html,Large Oval Fish,3-40 ft. (1-12 m),"Indo-Pacific, Great Barrier Reef, French Polynesia","['https://reefguide.org/pix/thumb2/acanthuruslineatus1.jpg', 'https://reefguide.org/pix/thumb2/acanthuruslineatus2.jpg']",Up to 15 in. (38 cm)
Blackstreak Surgeonfish,Acanthurus nigricauda,https://reefguide.org/acanthurusnigricauda.html,Large Oval Fish,10-100 ft. (3-30 m),Indo-Pacific,"['https://reefguide.org/pix/thumb2/acanthurusnigricauda1.jpg', 'https://reefguide.org/pix/thumb2/acanthurusnigricauda2.jpg', 'https://reefguide.org/pix/thumb2/acanthurusnigricauda3.jpg']",Up to 16 in. (40 cm)
Pale-Lipped Surgeonfish,Acanthurus leucocheilus,https://reefguide.org/palelippedsurgeonfish.html,Large Oval Fish,15-120 ft. (5-37 m),Indo-Pacific,['https://reefguide.org/pix/palelippedsurgeonfish1.jpg'],Up to 19 in. (48 cm)
Elongate Surgeonfish,Acanthurus mata,https://reefguide.org/acanthurusmata.html,Large Oval Fish,15-75 ft. (5-23 m),"Indo-Pacific, Red Sea, Great Barrier Reef, French Polynesia","['https://reefguide.org/pix/thumb2/acanthurusmata1.jpg', 'https://reefguide.org/pix/thumb2/acanthurusmata2.jpg']",Up to 19 in. (50 cm)
Yellowfin Surgeonfish,Acanthurus xanthopterus,https://reefguide.org/yellowfinsurgeonfish.html,Large Oval Fish,45-200 ft. (15-60 m),"Indo-Pacific, Hawaii, Great Barrier Reef, Pacific Coast of Mexico to Panama","['https://reefguide.org/pix/thumb2/yellowfinsurgeonfish1.jpg', 'https://reefguide.org/pix/thumb2/yellowfinsurgeonfish2.jpg', 'https://reefguide.org/pix/thumb2/yellowfinsurgeonfish3.jpg']",12 to 22 in. (30 to 55 cm)
Eyestripe Surgeonfish,Acanthurus dussumieri,https://reefguide.org/eyestripesurgeonfish.html,Large Oval Fish,30-200 ft. (10-60 m),"Indo-Pacific, Hawaii","['https://reefguide.org/pix/thumb2/eyestripesurgeonfish1.jpg', 'https://reefguide.org/pix/thumb2/eyestripesurgeonfish2.jpg']",12 to 20 in. (30 to 50 cm)
Dark Surgeonfish,Acanthurus nubilus,https://reefguide.org/acanthurusnubilus.html,Large Oval Fish,50-250 ft. (15-75 m),Indo-West Pacific,['https://reefguide.org/pix/acanthurusnubilus1.jpg'],Up to 10 in. (25 cm)
Blue-Lined Surgeonfish,Acanthurus nigroris,https://reefguide.org/bluelinedsurgeonfish.html,Large Oval Fish,10-250 ft. (3-75 m),"Indo-Pacific, Hawaii, French Polynesia",['https://reefguide.org/pix/bluelinedsurgeonfish1.jpg'],6 to 10 in. (15 to 20 cm)
Whitebar Surgeonfish,Acanthurus leucopareius,https://reefguide.org/whitebarsurgeonfish.html,Large Oval Fish,3-30 ft. (1-10 m),"Northwest Pacific, Hawaii, French Polynesia",['https://reefguide.org/pix/whitebarsurgeonfish1.jpg'],5 to 8 in. (13 to 20 cm)
Convict Tang,Acanthurus triostegus,https://reefguide.org/convicttang.html,Large Oval Fish,1-20 ft. (0-6 m),"Hawaii, Indo-Pacific, Red Sea, Gulf of California, Pacific Coast of Mexico to Panama, French Polynesia","['https://reefguide.org/pix/thumb2/convicttang3.jpg', 'https://reefguide.org/pix/thumb2/convicttang2.jpg', 'https://reefguide.org/pix/thumb2/convicttang1.jpg']",6 to 10 in. (15 to 25 cm)
Bignose Unicornfish,Naso vlamingii,https://reefguide.org/bignoseunicornfish.html,Large Oval Fish,15-150 ft. (5-45 m),"Indo-Pacific, Great Barrier Reef, French Polynesia","['https://reefguide.org/pix/thumb2/bignoseunicornfish1.jpg', 'https://reefguide.org/pix/thumb2/bignoseunicornfish3.jpg', 'https://reefguide.org/pix/thumb2/bignoseunicornfish2.jpg', 'https://reefguide.org/pix/thumb2/bignoseunicornfish4.jpg', 'https://reefguide.org/pix/thumb2/bignoseunicornfish5.jpg', 'https://reefguide.org/pix/thumb2/bignoseunicornfish6.jpg', 'https://reefguide.org/pix/thumb2/bignoseunicornfish7.jpg', 'https://reefguide.org/pix/thumb2/bignoseunicornfish8.jpg']",Up to 20 in. (to 50 cm)
Paletail Unicornfish,Naso brevirostris,https://reefguide.org/spottedunicornfish.html,Large Oval Fish,10-200 ft. (3-60 m),"Indo-Pacific, Hawaii, Red Sea, Great Barrier Reef","['https://reefguide.org/pix/thumb2/spottedunicornfish1.jpg', 'https://reefguide.org/pix/thumb2/spottedunicornfish2.jpg', 'https://reefguide.org/pix/thumb2/spottedunicornfish3.jpg', 'https://reefguide.org/pix/thumb2/spottedunicornfish4.jpg', 'https://reefguide.org/pix/thumb2/spottedunicornfish5.jpg']",15 to 20 in. (35 to 50 cm)
Bluespine Unicornfish,Naso unicornis,https://reefguide.org/bluespineunicorn.html,Large Oval Fish,3-260 ft. (1-80 m),"Indo-Pacific, Hawaii, Red Sea","['https://reefguide.org/pix/thumb2/bluespineunicorn1.jpg', 'https://reefguide.org/pix/thumb2/bluespineunicorn3.jpg', 'https://reefguide.org/pix/thumb2/bluespineunicorn2.jpg']",Up to 27 in. (to 68 cm)
Sleek Unicornfish,Naso hexacanthus,https://reefguide.org/nasohexacanthus.html,Large Oval Fish,40-350 ft. (12-107 m),"Indo-Pacific, Red Sea, Hawaii",['https://reefguide.org/pix/nasohexacanthus1.jpg'],Up to 30 in. (75 cm)
Orangespine Unicornfish,Naso lituratus,https://reefguide.org/orangespineunicorn.html,Large Oval Fish,3-230 ft. (1-70 m),"Hawaii, Eastern Indo-Pacific","['https://reefguide.org/pix/thumb2/orangespineunicorn4.jpg', 'https://reefguide.org/pix/thumb2/orangespineunicorn6.jpg', 'https://reefguide.org/pix/thumb2/orangespineunicorn1.jpg', 'https://reefguide.org/pix/thumb2/orangespineunicorn2.jpg', 'https://reefguide.org/pix/thumb2/orangespineunicorn8.jpg', 'https://reefguide.org/pix/thumb2/orangespineunicorn5.jpg', 'https://reefguide.org/pix/thumb2/orangespineunicorn7.jpg', 'https://reefguide.org/pix/thumb2/orangespineunicorn3.jpg', 'https://reefguide.org/pix/thumb2/orangespineunicorn9.jpg', 'https://reefguide.org/pix/thumb2/orangespineunicorn10.jpg']",Up to 12 in. (to 30 cm)
Goldring Surgeonfish,Ctenochaetus strigosus,https://reefguide.org/goldringsurgeon.html,Large Oval Fish,5-200 ft. (2-60 m),Hawaii (Endemic),"['https://reefguide.org/pix/thumb2/goldringsurgeon1.jpg', 'https://reefguide.org/pix/thumb2/goldringsurgeon5.jpg', 'https://reefguide.org/pix/thumb2/goldringsurgeon2.jpg', 'https://reefguide.org/pix/thumb2/goldringsurgeon3.jpg', 'https://reefguide.org/pix/thumb2/goldringsurgeon4.jpg', 'https://reefguide.org/pix/thumb2/goldringsurgeon6.jpg']",3 to 6 in. (8 to 15 cm)
Lined Bristletooth,Ctenochaetus striatus,https://reefguide.org/linedbristletooth.html,Large Oval Fish,10-100 ft. (3-30 m),"Indo-Pacific, Great Barrier Reef, French Polynesia",['https://reefguide.org/pix/linedbristletooth1.jpg'],5 to 10 in. (13 to 25 cm)
Bluelipped Bristletooth,Ctenochaetus cyanocheilus,https://reefguide.org/ctenochaetuscyanocheilus.html,Large Oval Fish,10-150 ft. (3-45 m),"West Pacific, Indonesia",['https://reefguide.org/pix/ctenochaetuscyanocheilus1.jpg'],Up to 7 in. (18 cm)
Hawaiian Bristletooth,Ctenochaetus hawaiiensis,https://reefguide.org/ctenochaetushawaiiensis.html,Large Oval Fish,30-140 ft. (10-43 m),"Hawaii, Micronesia, French Polynesia",['https://reefguide.org/pix/ctenochaetushawaiiensis1.jpg'],Up to 10 in. (25 cm)
Palette Surgeonfish,Paracanthurus hepatus,https://reefguide.org/paracanthurushepatus.html,Large Oval Fish,3-20 ft. (1-6 m),Indo-Pacific,['https://reefguide.org/pix/paracanthurushepatus1.jpg'],Up to 10 in. (26 cm)
Yellowtail Surgeonfish,Prionurus punctatus,https://reefguide.org/prionuruspunctatus.html,Large Oval Fish,1-100 ft. (0-30 m),"Gulf of California, Pacific Coast of Mexico","['https://reefguide.org/pix/thumb2/prionuruspunctatus1.jpg', 'https://reefguide.org/pix/thumb2/prionuruspunctatus2.jpg', 'https://reefguide.org/pix/thumb2/prionuruspunctatus3.jpg', 'https://reefguide.org/pix/thumb2/prionuruspunctatus4.jpg', 'https://reefguide.org/pix/thumb2/prionuruspunctatus5.jpg']",Up to 16 in. (40 cm)
Masked Rabbitfish,Siganus puellus,https://reefguide.org/maskedrabbitfish.html,Large Oval Fish,10-50 ft. (3-15 m),Indo-West Pacific,"['https://reefguide.org/pix/thumb2/maskedrabbitfish1.jpg', 'https://reefguide.org/pix/thumb2/maskedrabbitfish2.jpg', 'https://reefguide.org/pix/thumb2/maskedrabbitfish3.jpg', 'https://reefguide.org/pix/thumb2/maskedrabbitfish4.jpg']",4 to 6 in. (10 to 15 cm)
Siganus virgatus,Siganus virgatus,https://reefguide.org/siganusvirgatus.html,Large Oval Fish,3-50 ft. (1-15 m),Indo-West Pacific,['https://reefguide.org/pix/siganusvirgatus1.jpg'],Up to 12 in. (30 cm)
Goldspotted Rabbitfish,Siganus punctatus,https://reefguide.org/siganuspunctatus.html,Large Oval Fish,10-130 ft. (3-40 m),"West Pacific, Australia",['https://reefguide.org/pix/siganuspunctatus1.jpg'],Up to 16 in. (40 cm)
Whitespotted Rabbitfish,Siganus canaliculatus,https://reefguide.org/whitespottedrabbitfish.html,Large Oval Fish,3-130 ft. (1-40 m),Asian Pacific,"['https://reefguide.org/pix/thumb2/whitespottedrabbitfish1.jpg', 'https://reefguide.org/pix/thumb2/whitespottedrabbitfish2.jpg']",Up to 11 in. (29 cm)
Coral Rabbitfish,Siganus corallinus,https://reefguide.org/siganuscorallinus.html,Large Oval Fish,10-100 ft. (3-30 m),Indo-West Pacific,['https://reefguide.org/pix/siganuscorallinus1.jpg'],6 to 10 in. (15 to 25 cm)
Golden Rabbitfish,Siganus guttatus,https://reefguide.org/siganusguttatus.html,Large Oval Fish,10-75 ft. (3-23 m),"Indo-West Pacific, Indonesia","['https://reefguide.org/pix/thumb2/siganusguttatus1.jpg', 'https://reefguide.org/pix/thumb2/siganusguttatus2.jpg']",Up to 14 in. (35 cm)
Foxface Rabbitfish,Siganus vulpinus,https://reefguide.org/foxfacerabbitfish.html,Large Oval Fish,10-100 ft. (3-30 m),"West Pacific, Great Barrier Reef, Indonesia","['https://reefguide.org/pix/thumb2/foxfacerabbitfish1.jpg', 'https://reefguide.org/pix/thumb2/foxfacerabbitfish2.jpg', 'https://reefguide.org/pix/thumb2/foxfacerabbitfish3.jpg']",Up to 10 in. (25 cm)
Onespot Rabbitfish,Siganus unimaculatus,https://reefguide.org/onespotrabbitfish.html,Large Oval Fish,20-120 ft. (6-37 m),West Pacific,['https://reefguide.org/pix/onespotrabbitfish1.jpg'],Up to 10 in. (25 cm)
Banded Butterflyfish,Chaetodon striatus,https://reefguide.org/bandedbutterfly.html,Large Oval Fish,10-60 ft. (3-18 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico, Brazil","['https://reefguide.org/pix/thumb2/bandedbutterfly1.jpg', 'https://reefguide.org/pix/thumb2/bandedbutterfly3.jpg', 'https://reefguide.org/pix/thumb2/bandedbutterfly2.jpg', 'https://reefguide.org/pix/thumb2/bandedbutterfly5.jpg', 'https://reefguide.org/pix/thumb2/bandedbutterfly4.jpg', 'https://oceana.org/sites/default/files/styles/lightbox_full/public/shutterstock_pixelnest_atlantic_wolffish.jpg?itok=7LzPOTg5']",
Threespot Damselfish,Stegastes planifrons,https://reefguide.org/threespotdamsel.html,Small Oval Fish,1-130 ft. (0-40 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico","['https://reefguide.org/pix/thumb2/threespotdamsel3.jpg', 'https://reefguide.org/pix/thumb2/threespotdamsel5.jpg', 'https://reefguide.org/pix/thumb2/threespotdamsel11.jpg', 'https://reefguide.org/pix/thumb2/threespotdamsel2.jpg', 'https://reefguide.org/pix/thumb2/threespotdamsel14.jpg', 'https://reefguide.org/pix/thumb2/threespotdamsel8.jpg', 'https://reefguide.org/pix/thumb2/threespotdamsel10.jpg', 'https://reefguide.org/pix/thumb2/threespotdamsel7.jpg', 'https://reefguide.org/pix/thumb2/threespotdamsel9.jpg', 'https://reefguide.org/pix/thumb2/threespotdamsel4.jpg', 'https://reefguide.org/pix/thumb2/threespotdamsel1.jpg', 'https://reefguide.org/pix/thumb2/threespotdamsel12.jpg', 'https://reefguide.org/pix/thumb2/threespotdamsel13.jpg', 'https://reefguide.org/pix/thumb2/threespotdamsel6.jpg', 'https://reefguide.org/pix/thumb2/threespotdamsel15.jpg', 'https://oceana.org/sites/default/files/styles/lightbox_full/public/_5.jpg?itok=92rOPDjG']",
False Clown Anemonefish,Amphiprion ocellaris,https://reefguide.org/falseclownanemonefish.html,Small Oval Fish,3-45 ft. (1-15 m),Indo-West Pacific,"['https://reefguide.org/pix/thumb2/falseclownanemonefish1.jpg', 'https://reefguide.org/pix/thumb2/falseclownanemonefish2.jpg', 'https://reefguide.org/pix/thumb2/falseclownanemonefish3.jpg', 'https://reefguide.org/pix/thumb2/falseclownanemonefish4.jpg', 'https://reefguide.org/pix/thumb2/falseclownanemonefish5.jpg', 'https://oceana.org/sites/default/files/styles/lightbox_full/public/noaa_kevin_lino_common_clownfish.jpg?itok=Sq9RI07X']",
Goliath Grouper,Epinephelus itajara,https://reefguide.org/goliathgrouper.html,Groupers and Seabasses,10-100 ft. (3-30 m),"Caribbean, Bahamas, Florida, Bermuda, Gulf of Mexico, Brazil, Gulf of California, Pacific Coast of Mexico to Panama","['https://reefguide.org/pix/thumb2/goliathgrouper1.jpg', 'https://reefguide.org/pix/thumb2/goliathgrouper3.jpg', 'https://reefguide.org/pix/thumb2/goliathgrouper4.jpg', 'https://reefguide.org/pix/thumb2/goliathgrouper6.jpg', 'https://reefguide.org/pix/thumb2/goliathgrouper5.jpg', 'https://reefguide.org/pix/thumb2/goliathgrouper2.jpg', 'https://reefguide.org/pix/thumb2/goliathgrouper7.jpg', 'https://oceana.org/sites/default/files/styles/lightbox_full/public/7_0.jpg?itok=wjbXfLGJ']",
Nassau Grouper,Epinephelus striatus,https://reefguide.org/nassau.html,Groupers and Seabasses,20-100 ft. (6-30 m),"Caribbean, Bahamas, Florida, Bermuda, Brazil","['https://reefguide.org/pix/thumb2/nassau1.jpg', 'https://reefguide.org/pix/thumb2/nassau2.jpg', 'https://reefguide.org/pix/thumb2/nassau10.jpg', 'https://reefguide.org/pix/thumb2/nassau5.jpg', 'https://reefguide.org/pix/thumb2/nassau25.jpg', 'https://reefguide.org/pix/thumb2/nassau4.jpg', 'https://reefguide.org/pix/thumb2/nassau6.jpg', 'https://reefguide.org/pix/thumb2/nassau3.jpg', 'https://reefguide.org/pix/thumb2/nassau7.jpg', 'https://reefguide.org/pix/thumb2/nassau8.jpg', 'https://reefguide.org/pix/thumb2/nassau9.jpg', 'https://reefguide.org/pix/thumb2/nassau11.jpg', 'https://reefguide.org/pix/thumb2/nassau12.jpg', 'https://reefguide.org/pix/thumb2/nassau13.jpg', 'https://reefguide.org/pix/thumb2/nassau14.jpg', 'https://reefguide.org/pix/thumb2/nassau15.jpg', 'https://oceana.org/sites/default/files/styles/lightbox_full/public/shutterstock_ocean_image_photography_mexican_lookdown.jpg?itok=8vZoVkIU']",
Queen Parrotfish,Scarus vetula,https://reefguide.org/queenparrot.html,Parrotfishes and Wrasses,10-80 ft. (3-25 m),"Caribbean, Bahamas, Florida, Bermuda","['https://reefguide.org/pix/thumb2/queenparrot2.jpg', 'https://reefguide.org/pix/thumb2/queenparrot4.jpg', 'https://reefguide.org/pix/thumb2/queenparrot1.jpg', 'https://reefguide.org/pix/thumb2/queenparrot6.jpg', 'https://reefguide.org/pix/thumb2/queenparrot10.jpg', 'https://reefguide.org/pix/thumb2/queenparrot5.jpg', 'https://reefguide.org/pix/thumb2/queenparrot7.jpg', 'https://reefguide.org/pix/thumb2/queenparrot11.jpg', 'https://reefguide.org/pix/thumb2/queenparrot8.jpg', 'https://reefguide.org/pix/thumb2/queenparrot3.jpg', 'https://reefguide.org/pix/thumb2/queenparrot9.jpg', 'https://oceana.org/sites/default/files/styles/lightbox_full/public/14_2.jpg?itok=QnwnobSt']",
Bluehead,Thalassoma bifasciatum,https://reefguide.org/bluehead.html,Parrotfishes and Wrasses,6-80 ft. (2-25 m),"Caribbean, Bahamas, Florida, Bermuda","['https://reefguide.org/pix/thumb2/bluehead5.jpg', 'https://reefguide.org/pix/thumb2/bluehead2.jpg', 'https://reefguide.org/pix/thumb2/bluehead4.jpg', 'https://reefguide.org/pix/thumb2/bluehead1.jpg', 'https://reefguide.org/pix/thumb2/bluehead3.jpg', 'https://oceana.org/sites/default/files/styles/lightbox_full/public/shutterstock_igor_sh_bluehead_wrasse.jpg?itok=JZg0XOSH']",
Bluebanded Goby,Lythrypnus dalli,https://reefguide.org/lythrypnusdalli.html,Gobies and Blennies,0-250 ft. (0-75 m),"Gulf of California, Pacific Coast of Panama","['https://reefguide.org/pix/thumb2/lythrypnusdalli1.jpg', 'https://reefguide.org/pix/thumb2/lythrypnusdalli2.jpg', 'https://oceana.org/sites/default/files/styles/lightbox_full/public/shutterstock_natalie_jean_bluebanded_goby.jpg?itok=pzsCwNGB']",
Common Lionfish,Pterois volitans,https://reefguide.org/commonlionfish.html,Bottom Dwellers,40-150 ft. (12-45 m),"Eastern Indo-Pacific, Florida, Bahamas, Caribbean","['https://reefguide.org/pix/thumb2/commonlionfish9.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish16.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish8.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish18.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish17.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish5.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish6.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish7.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish1.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish2.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish3.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish10.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish11.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish12.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish13.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish14.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish15.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish4.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish19.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish20.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish21.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish22.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish23.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish24.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish25.jpg', 'https://reefguide.org/pix/thumb2/commonlionfish26.jpg', 'https://oceana.org/sites/default/files/styles/lightbox_full/public/14_2.jpg?itok=QnwnobSt']",
Clown Triggerfish,Balistoides conspicillum,https://reefguide.org/clowntriggerfish.html,Odd Shaped Swimmers,6-250 ft. (2-75 m),"Indo-West Pacific, Australia","['https://reefguide.org/pix/thumb2/clowntriggerfish1.jpg', 'https://reefguide.org/pix/thumb2/clowntriggerfish2.jpg', 'https://reefguide.org/pix/thumb2/clowntriggerfish3.jpg', 'https://reefguide.org/pix/thumb2/clowntriggerfish4.jpg', 'https://reefguide.org/pix/thumb2/clowntriggerfish5.jpg', 'https://oceana.org/sites/default/files/styles/lightbox_full/public/shutterstock_kevin_cass_chinook_salmon.jpg?itok=rE9TvOVy']",
Porcupinefish,Diodon hystrix,https://reefguide.org/porcupine.html,Odd Shaped Swimmers,10-60 ft. (3-18 m),Circumtropical,"['https://reefguide.org/pix/thumb2/porcupine6.jpg', 'https://reefguide.org/pix/thumb2/porcupine7.jpg', 'https://reefguide.org/pix/thumb2/porcupine8.jpg', 'https://reefguide.org/pix/thumb2/porcupine9.jpg', 'https://reefguide.org/pix/thumb2/porcupine10.jpg', 'https://reefguide.org/pix/thumb2/porcupine2.jpg', 'https://reefguide.org/pix/thumb2/porcupine1.jpg', 'https://reefguide.org/pix/thumb2/porcupine4.jpg', 'https://reefguide.org/pix/thumb2/porcupine3.jpg', 'https://reefguide.org/pix/thumb2/porcupine5.jpg', 'https://reefguide.org/pix/thumb2/porcupine11.jpg', 'https://reefguide.org/pix/thumb2/porcupine12.jpg', 'https://oceana.org/sites/default/files/styles/lightbox_full/public/9.jpg?itok=tPJb7FKL']",
Guineafowl Puffer,Arothron meleagris,https://reefguide.org/guineafowlpuffer.html,Odd Shaped Swimmers,5-60 ft. (2-18 m),"Indo-Pacific, Hawaii, Gulf of California, Pacific Coast of Mexico to Panama, French Polynesia","['https://reefguide.org/pix/thumb2/guineafowlpuffer1.jpg', 'https://reefguide.org/pix/thumb2/guineafowlpuffer2.jpg', 'https://reefguide.org/pix/thumb2/guineafowlpuffer3.jpg', 'https://reefguide.org/pix/thumb2/guineafowlpuffer4.jpg', 'https://reefguide.org/pix/thumb2/guineafowlpuffer5.jpg', 'https://reefguide.org/pix/thumb2/guineafowlpuffer6.jpg', 'https://reefguide.org/pix/thumb2/guineafowlpuffer7.jpg', 'https://reefguide.org/pix/thumb2/guineafowlpuffer8.jpg', 'https://oceana.org/sites/default/files/styles/lightbox_full/public/shutterstock_236341420.jpg?itok=SQWPRSm1']",
