common_name,scientific_name,url,category,depth,distribution,images,size
Tiger Snapping Shrimp,Alpheus bellulus,https://reefguide.org/alpheusbellulus.html,Crustaceans,6-60 ft. (2-18 m),"Indo-West Pacific, Australia","['https://reefguide.org/pix/thumb2/alpheusbellulus1.jpg', 'https://reefguide.org/pix/thumb2/alpheusbellulus2.jpg', 'https://reefguide.org/pix/thumb2/alpheusbellulus3.jpg', 'https://reefguide.org/pix/thumb2/alpheusbellulus4.jpg', 'https://reefguide.org/pix/thumb2/alpheusbellulus5.jpg', 'https://reefguide.org/pix/thumb2/alpheusbellulus6.jpg']",Up to 1.5 in. (3.5 cm)
Alpheus sp. 1,Alpheus sp. 1,https://reefguide.org/alpheussp1.html,Crustaceans,6-60 ft. (2-18 m),"Indo-West Pacific, Australia",['https://reefguide.org/pix/alpheussp11.jpg'],Up to 1.5 in. (4 cm)
Harlequin Shrimp,Hymenocera picta,https://reefguide.org/harlequinshrimp.html,Crustaceans,3-60 ft. (1-18 m),"Indo-Pacific, Hawaii, Red Sea, French Polynesia","['https://reefguide.org/pix/thumb2/harlequinshrimp4.jpg', 'https://reefguide.org/pix/thumb2/harlequinshrimp5.jpg', 'https://reefguide.org/pix/thumb2/harlequinshrimp6.jpg', 'https://reefguide.org/pix/thumb2/harlequinshrimp7.jpg', 'https://reefguide.org/pix/thumb2/harlequinshrimp8.jpg', 'https://reefguide.org/pix/thumb2/harlequinshrimp9.jpg', 'https://reefguide.org/pix/thumb2/harlequinshrimp10.jpg', 'https://reefguide.org/pix/thumb2/harlequinshrimp1.jpg', 'https://reefguide.org/pix/thumb2/harlequinshrimp2.jpg', 'https://reefguide.org/pix/thumb2/harlequinshrimp3.jpg', 'https://reefguide.org/pix/thumb2/harlequinshrimp11.jpg', 'https://reefguide.org/pix/thumb2/harlequinshrimp12.jpg', 'https://reefguide.org/pix/thumb2/harlequinshrimp13.jpg', 'https://reefguide.org/pix/thumb2/harlequinshrimp14.jpg']",1 to 2 in. (2 to 5 cm)
Spiny Tiger Shrimp,Phyllognathia ceratophthalma,https://reefguide.org/spinytigershrimp.html,Crustaceans,3-60 ft. (1-18 m),"Indo-Pacific, Hawaii, Red Sea, French Polynesia",['https://reefguide.org/pix/spinytigershrimp1.jpg'],Up to 0.75 in. (2 cm)
Purple Urchin Shrimp,Stegopontonia commensalis,https://reefguide.org/stegopontoniacommensalis.html,Crustaceans,3-60 ft. (1-18 m),"Indo-Pacific, Hawaii, Red Sea, French Polynesia","['https://reefguide.org/pix/thumb2/stegopontoniacommensalis1.jpg', 'https://reefguide.org/pix/thumb2/stegopontoniacommensalis2.jpg']",Up to 1.5 in (3.5 cm)
Donald Duck Shrimp,Leander plumosus,https://reefguide.org/leanderplumosus.html,Crustaceans,10-180 ft. (3-55 m),Indo-West Pacific,"['https://reefguide.org/pix/thumb2/leanderplumosus1.jpg', 'https://reefguide.org/pix/thumb2/leanderplumosus2.jpg', 'https://reefguide.org/pix/thumb2/leanderplumosus3.jpg', 'https://reefguide.org/pix/thumb2/leanderplumosus4.jpg', 'https://reefguide.org/pix/thumb2/leanderplumosus5.jpg', 'https://reefguide.org/pix/thumb2/leanderplumosus6.jpg', 'https://reefguide.org/pix/thumb2/leanderplumosus7.jpg']",Up to 1.25 in. (3 cm)
Japanese Rock Shrimp,Sicyonia japonica,https://reefguide.org/sicyoniajaponica.html,Crustaceans,10-180 ft. (3-55 m),Indo-West Pacific,['https://reefguide.org/pix/sicyoniajaponica1.jpg'],Up to 0.75 in. (2 cm)
Humpback Prawn,Metapenaeopsis lamellata,https://reefguide.org/metapenaeopsislamellata.html,Crustaceans,10-200 ft. (3-60 m),"West Pacific, Indonesia","['https://reefguide.org/pix/thumb2/metapenaeopsislamellata1.jpg', 'https://reefguide.org/pix/thumb2/metapenaeopsislamellata2.jpg']",Up to 4 in. (10 cm)
Solenocera sp. 1,Solenocera sp. 1,https://reefguide.org/Solenocerasp1.html,Crustaceans,10-200 ft. (3-60 m),"West Pacific, Indonesia",['https://reefguide.org/pix/Solenocerasp11.jpg'],Up to 3 in. (7.5 cm)
Dancing Shrimp,Rhynchocinetes durbanensis,https://reefguide.org/rhynchocinetesdurbanensis.html,Crustaceans,10-200 ft. (3-60 m),"West Pacific, Indonesia","['https://reefguide.org/pix/thumb2/rhynchocinetesdurbanensis1.jpg', 'https://reefguide.org/pix/thumb2/rhynchocinetesdurbanensis2.jpg', 'https://reefguide.org/pix/thumb2/rhynchocinetesdurbanensis3.jpg', 'https://reefguide.org/pix/thumb2/rhynchocinetesdurbanensis4.jpg']",Up to 1.5 in. (4 cm)
